Data in US Dollars;;;;;
;2022;Q1 2022;Q2 2022;Q3 2022;Q4 2022
Balance of Payments;;;;;
Current account;-1.012.103,00;-263.229,00;-271.509,00;-260.173,00;-217.192,00
Goods and services;-944.770,00;-245.745,00;-255.825,00;-242.346,00;-200.854,00
Credit;3.039.403,00;696.638,00;777.156,00;783.760,00;781.849,00
Debit;3.984.173,00;942.383,00;1.032.981,00;1.026.106,00;982.703,00
Goods;-1.179.943,00;-300.153,00;-309.970,00;-295.574,00;-274.246,00
Credit;2.090.338,00;483.228,00;541.549,00;541.470,00;524.091,00
General merchandise: export;2.048.474,00;476.980,00;531.858,00;525.593,00;514.043,00
Net exports of goods under merchanting;1.116,00;321,00;244,00;313,00;238,00
Non-monetary gold: export;40.748,00;5.927,00;9.447,00;15.564,00;9.810,00
Debit;3.270.281,00;783.381,00;851.519,00;837.044,00;798.337,00
General merchandise: import;3.244.147,00;771.975,00;845.596,00;833.104,00;793.472,00
Non-monetary gold: import;26.134,00;11.406,00;5.923,00;3.940,00;4.865,00
Services;235.173,00;54.408,00;54.145,00;53.228,00;73.392,00
Credit;949.065,00;213.410,00;235.607,00;242.290,00;257.758,00
Debit;713.892,00;159.002,00;181.462,00;189.062,00;184.366,00
Manufacturing services on physical inputs owned by others, credit;;;;;
Manufacturing services on physical inputs owned by others, debit;;;;;
Maintenance and repair services n.i.e., credit;14.417,00;3.054,00;3.612,00;3.744,00;4.007,00
Maintenance and repair services n.i.e., debit;5.453,00;1.210,00;1.373,00;1.404,00;1.466,00
Transport, credit;92.406,00;19.677,00;23.454,00;25.020,00;24.255,00
Passenger;29.177,00;4.734,00;7.080,00;9.079,00;8.284,00
Freight;;;;;
Other (including postal and courier);;;;;
Transport, debit;157.711,00;33.576,00;42.244,00;44.207,00;37.684,00
Passenger;46.776,00;6.171,00;12.313,00;14.723,00;13.569,00
Freight;;;;;
Other (including postal and courier);;;;;
Travel, credit;142.910,00;24.678,00;35.411,00;41.243,00;41.578,00
Business travel, credit;29.484,00;4.776,00;7.694,00;8.504,00;8.510,00
Personal travel, credit;113.426,00;19.902,00;27.717,00;32.739,00;33.068,00
Travel, debit;118.622,00;19.073,00;32.180,00;35.945,00;31.424,00
Business travel, debit;12.375,00;1.929,00;3.393,00;3.742,00;3.311,00
Personal travel, debit;106.247,00;17.144,00;28.787,00;32.203,00;28.113,00
Other services, credit;699.332,00;166.001,00;173.130,00;172.283,00;187.918,00
Construction services;1.948,00;420,00;503,00;536,00;489,00
Insurance and pension services;23.986,00;5.725,00;5.954,00;6.147,00;6.160,00
Financial services;167.444,00;40.923,00;41.761,00;41.630,00;43.130,00
Charges for the use of intellectual property n.i.e.;137.833,00;33.056,00;35.031,00;34.155,00;35.591,00
Telecommunication, computer, and information services;64.717,00;14.612,00;16.573,00;15.832,00;17.700,00
Other business services;246.415,00;57.450,00;60.196,00;59.779,00;68.990,00
Personal, cultural, and recreational services;27.710,00;6.731,00;7.018,00;6.910,00;7.051,00
Government goods and services n.i.e.;29.279,00;7.084,00;6.094,00;7.294,00;8.807,00
Other Services, debit;432.106,00;105.143,00;105.665,00;107.506,00;113.792,00
Construction services;2.148,00;550,00;622,00;517,00;459,00
Insurance and pension services;62.306,00;14.587,00;15.337,00;15.968,00;16.414,00
Financial services;57.480,00;13.165,00;13.120,00;14.461,00;16.734,00
Charges for the use of intellectual property n.i.e.;60.989,00;18.660,00;14.439,00;14.040,00;13.850,00
Telecommunication, computer, and information services;55.108,00;13.286,00;13.730,00;13.423,00;14.669,00
Other business services;138.766,00;31.427,00;34.596,00;35.282,00;37.461,00
Personal, cultural, and recreational services;29.761,00;7.127,00;7.380,00;7.487,00;7.767,00
Government goods and services n.i.e.;25.548,00;6.341,00;6.441,00;6.328,00;6.438,00
Primary income;115.961,00;20.840,00;27.966,00;38.094,00;29.061,00
Total credit;1.184.425,00;270.607,00;288.333,00;308.288,00;317.197,00
Total debit;1.068.464,00;249.767,00;260.367,00;270.194,00;288.136,00
Compensation of employees, credit;7.407,00;1.828,00;1.843,00;1.865,00;1.871,00
Compensation of employees, debit;24.786,00;5.183,00;6.019,00;6.878,00;6.706,00
Investment income, credit;1.177.018,00;268.779,00;286.490,00;306.423,00;315.326,00
Direct investment income;608.090,00;142.529,00;150.751,00;159.497,00;155.313,00
Income on equity and investment fund shares;592.200,00;139.139,00;147.344,00;155.367,00;150.350,00
Dividends and withdrawals from income of quasi-corporations;346.413,00;62.429,00;80.233,00;73.747,00;130.004,00
Reinvested earnings (direct investor in direct investment enterprises);245.787,00;76.710,00;67.111,00;81.620,00;20.346,00
Interest;15.890,00;3.390,00;3.407,00;4.130,00;4.963,00
Portfolio investment income;460.662,00;111.659,00;116.444,00;115.978,00;116.581,00
Investment income on equity and investment fund shares;308.963,00;76.317,00;79.120,00;76.405,00;77.121,00
Dividends on equity excluding investment fund shares;266.280,00;66.822,00;67.959,00;64.794,00;66.705,00
Investment income attributable to investment fund shareholders;42.683,00;9.495,00;11.161,00;11.611,00;10.416,00
Interest;151.699,00;35.342,00;37.324,00;39.573,00;39.460,00
Other investment income;106.101,00;14.508,00;19.022,00;30.347,00;42.224,00
Withdrawals from income of quasi-corporations;;;;;
Interest;90.770,00;10.745,00;15.196,00;26.483,00;38.346,00
Investment income attributable to policyholders in insurance, pension schemes, and standardized guarantees;15.331,00;3.763,00;3.826,00;3.864,00;3.878,00
Income on reserve assets;2.165,00;83,00;273,00;601,00;1.208,00
Income on equity and investment fund shares;0,00;0,00;0,00;0,00;0,00
Interest;2.165,00;83,00;273,00;601,00;1.208,00
Investment income, debit;1.043.678,00;244.584,00;254.348,00;263.316,00;281.430,00
Direct investment income;319.342,00;81.364,00;83.723,00;78.499,00;75.756,00
Income on equity and investment fund shares;281.936,00;72.643,00;74.695,00;69.155,00;65.443,00
Dividends and withdrawals from income of quasi-corporations;66.669,00;14.112,00;11.760,00;14.519,00;26.278,00
Reinvested earnings (direct investor in direct investment enterprises);215.267,00;58.531,00;62.935,00;54.636,00;39.165,00
Interest;37.406,00;8.721,00;9.028,00;9.344,00;10.313,00
Portfolio investment income;590.343,00;145.385,00;147.096,00;146.501,00;151.361,00
Investment income on equity and investment fund shares;206.442,00;53.647,00;53.398,00;49.810,00;49.587,00
Dividends on equity excluding investment fund shares;167.066,00;44.079,00;42.939,00;40.048,00;40.000,00
Portfolio investment income attributable to investment fund shareholders;39.376,00;9.568,00;10.459,00;9.762,00;9.587,00
Interest;383.901,00;91.738,00;93.698,00;96.691,00;101.774,00
Other investment income;133.993,00;17.835,00;23.529,00;38.316,00;54.313,00
Withdrawals from income of quasi-corporations;;;;;
Interest;129.806,00;16.800,00;22.494,00;37.269,00;53.243,00
Income attributable to policyholders in insurance, pension schemes, and standardized guarantees;4.187,00;1.035,00;1.035,00;1.047,00;1.070,00
Other primary income, credit;;;;;
Other primary income, debit;;;;;
Secondary income;-183.294,00;-38.324,00;-43.650,00;-55.921,00;-45.399,00
Credit;188.696,00;44.039,00;45.265,00;45.309,00;54.083,00
General government;47.178,00;9.238,00;10.393,00;9.615,00;17.932,00
Financial corporations, nonfinancial corporations, households, and NPISHs;141.518,00;34.801,00;34.872,00;35.694,00;36.151,00
