Indicator,Country code,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022
Current account,PK,"-12.216,11","-3.902,08","-4.466,85","-2.441,03","-1.406,15"
Goods and services,PK,"-37.627,11","-10.238,08","-11.583,85","-9.431,03","-6.374,15"
Credit,PK,"38.966,76","10.264,00","10.611,00","9.103,87","8.987,89"
Debit,PK,"76.593,87","20.502,08","22.194,85","18.534,90","15.362,04"
Goods,PK,"-34.407,00","-8.846,00","-10.010,00","-9.133,00","-6.418,00"
Credit,PK,"31.473,00","8.464,00","8.787,00","7.387,00","6.835,00"
General merchandise: export,PK,"31.468,00","8.463,00","8.785,00","7.386,00","6.834,00"
Net exports of goods under merchanting,PK,"5,00","1,00","2,00","1,00","1,00"
Non-monetary gold: export,PK,"0,00","0,00","0,00","0,00","0,00"
Debit,PK,"65.880,00","17.310,00","18.797,00","16.520,00","13.253,00"
General merchandise: import,PK,"65.880,00","17.310,00","18.797,00","16.520,00","13.253,00"
Non-monetary gold: import,PK,"0,00","0,00","0,00","0,00","0,00"
Services,PK,"-3.220,11","-1.392,08","-1.573,85","-298,03","43,85"
Credit,PK,"7.493,76","1.800,00","1.824,00","1.716,87","2.152,89"
Debit,PK,"10.713,87","3.192,08","3.397,85","2.014,90","2.109,04"
"Manufacturing services on physical inputs owned by others, credit",PK,"0,00","0,00","0,00","0,00","0,00"
"Manufacturing services on physical inputs owned by others, debit",PK,"0,00","0,00","0,00","0,00","0,00"
"Maintenance and repair services n.i.e., credit",PK,"0,00","0,00","0,00","0,00","0,00"
"Maintenance and repair services n.i.e., debit",PK,"47,00","12,00","13,00","8,00","14,00"
"Transport, credit",PK,"872,76","208,00","230,00","221,87","212,89"
Passenger,PK,"443,23","115,77","110,41","105,11","111,94"
Freight,PK,"171,83","30,80","52,44","52,14","36,45"
Other (including postal and courier),PK,"257,70","61,43","67,15","64,62","64,50"
"Transport, debit",PK,"6.009,87","1.988,08","1.868,85","1.148,90","1.004,04"
Passenger,PK,"823,76","158,49","206,25","239,53","219,49"
Freight,PK,"4.788,69","1.730,03","1.567,15","835,54","655,96"
Other (including postal and courier),PK,"397,42","99,56","95,45","73,82","128,59"
"Travel, credit",PK,"738,00","137,00","123,00","123,00","355,00"
"Business travel, credit",PK,"3,00","0,00","0,00","0,00","3,00"
"Personal travel, credit",PK,"735,00","137,00","123,00","123,00","352,00"
"Travel, debit",PK,"1.530,00","276,00","561,00","231,00","462,00"
"Business travel, debit",PK,"14,00","2,00","3,00","2,00","7,00"
"Personal travel, debit",PK,"1.516,00","274,00","558,00","229,00","455,00"
"Other services, credit",PK,"5.883,00","1.455,00","1.471,00","1.372,00","1.585,00"
Construction services,PK,"43,00","9,00","16,00","7,00","11,00"
Insurance and pension services,PK,"52,00","10,00","10,00","13,00","19,00"
Financial services,PK,"251,00","50,00","70,00","51,00","80,00"
Charges for the use of intellectual property n.i.e.,PK,"13,00","3,00","3,00","3,00","4,00"
"Telecommunication, computer, and information services",PK,"2.650,00","647,00","669,00","634,00","700,00"
Other business services,PK,"1.742,00","438,00","451,00","417,00","436,00"
"Personal, cultural, and recreational services",PK,"15,00","3,00","4,00","3,00","5,00"
Government goods and services n.i.e.,PK,"1.117,00","295,00","248,00","244,00","330,00"
"Other Services, debit",PK,"3.127,00","916,00","955,00","627,00","629,00"
Construction services,PK,"5,00","4,00","1,00","0,00","0,00"
Insurance and pension services,PK,"267,00","80,00","69,00","60,00","58,00"
Financial services,PK,"494,00","115,00","106,00","118,00","155,00"
Charges for the use of intellectual property n.i.e.,PK,"111,00","51,00","32,00","10,00","18,00"
"Telecommunication, computer, and information services",PK,"449,00","146,00","136,00","80,00","87,00"
Other business services,PK,"1.387,00","392,00","413,00","311,00","271,00"
"Personal, cultural, and recreational services",PK,"2,00","1,00","0,00","1,00","0,00"
Government goods and services n.i.e.,PK,"412,00","127,00","198,00","47,00","40,00"
Primary income,PK,"-5.414,00","-1.291,00","-1.451,00","-1.021,00","-1.651,00"
Total credit,PK,"678,00","145,00","187,00","245,00","101,00"
Total debit,PK,"6.092,00","1.436,00","1.638,00","1.266,00","1.752,00"
"Compensation of employees, credit",PK,"287,00","69,00","77,00","71,00","70,00"
"Compensation of employees, debit",PK,"28,00","6,00","8,00","7,00","7,00"
"Investment income, credit",PK,"359,00","76,00","78,00","174,00","31,00"
Direct investment income,PK,"27,00","32,00","-2,00","27,00","-30,00"
Income on equity and investment fund shares,PK,"27,00","32,00","-2,00","27,00","-30,00"
Dividends and withdrawals from income of quasi-corporations,PK,"33,00","2,00","10,00","15,00","6,00"
Reinvested earnings (direct investor in direct investment enterprises),PK,"-6,00","30,00","-12,00","12,00","-36,00"
